Prenoèitvene zmogljivosti po: OBÈINE, MESEC , MERITVE;;;;
;;;;
 ;2015M01; ; ; 
 ;Prihodi turistov - domaèi;Prihodi turistov - tuji;Prenoèitve turistov - domaèi;Prenoèitve turistov - tuji
SLOVENIJA;71159;116510;220665;326086
Ajdovšèina;71;494;164;1107
Ankaran/Ancarano;397;202;979;742
Apaèe;;;;
Beltinci;;;;
Benedikt;0;8;0;11
Bistrica ob Sotli;;;;
Bled;1013;8323;1965;21531
Bloke;;;;
Bohinj;3480;2251;10142;7853
Borovnica;;;;
Bovec;101;105;238;349
Braslovèe;;;;
Brda;157;472;278;971
Brezovica;22;18;125;26
Brežice;5199;7520;17265;21544
Cankova;;;;
Celje;507;1091;883;2355
Cerklje na Gorenjskem;492;1827;1432;4531
Cerknica;121;41;442;159
Cerkno;1644;735;5689;2521
Cerkvenjak;;;;
Cirkulane;;;;
Èrenšovci;;;;
Èrna na Koroškem;;;;
Èrnomelj;149;26;523;50
Destrnik;;;;
Divaèa;31;107;77;164
Dobje;;;;
Dobrepolje;;;;
Dobrna;1143;762;5313;2389
Dobrova - Polhov Gradec;;;;
Dobrovnik/Dobronak;;;;
Dol pri Ljubljani;;;;
Dolenjske Toplice;890;625;4769;1914
Domžale;66;590;396;1123
Dornava;;;;
Dravograd;94;126;281;275
Duplek;;;;
Gorenja vas - Poljane;59;19;104;80
Gorišnica;;;;
Gorje;62;0;115;1
Gornja Radgona;;;;
Gornji Grad;;;;
Gornji Petrovci;;;;
Grad;;;;
Grosuplje;;;;
Hajdina;;;;
Hoèe - Slivnica;1018;905;3413;3541
Hodoš/Hodos;;;;
Horjul;;;;
Hrastnik;;;;
Hrpelje - Kozina;84;545;85;785
Idrija;182;59;579;128
Ig;;;;
Ilirska Bistrica;4;113;16;126
Ivanèna Gorica;0;5;0;13
Izola/Isola;328;349;892;936
Jesenice;130;12;434;23
Jezersko;29;11;41;37
Juršinci;;;;
Kamnik;284;1043;732;4471
Kanal;;;;
Kidrièevo;;;;
Kobarid;84;25;148;54
Kobilje;;;;
Koèevje;229;24;554;49
Komen;;;;
Komenda;;;;
Koper/Capodistria;790;1420;1809;3076
Kostanjevica na Krki;4;2;4;3
Kostel;;;;
Kozje;;;;
Kranj;248;1160;517;2435
Kranjska Gora;6389;8451;18985;34675
Križevci;;;;
Krško;28;141;94;328
Kungota;;;;
Kuzma;;;;
Laško;2487;3212;8904;9029
Lenart;;;;
Lendava/Lendva;1392;472;4120;1871
Litija;;;;
Ljubljana;2285;23480;3676;44473
Ljubno;32;53;46;80
Ljutomer;1294;85;3703;223
Log - Dragomer;;;;
Logatec;342;69;888;131
Loška dolina;;;;
Loški Potok;;;;
Lovrenc na Pohorju;;;;
Luèe;16;5;24;12
Lukovica;;;;
Majšperk;;;;
Makole;;;;
Maribor;1491;5315;2951;16133
Markovci;;;;
Medvode;35;115;44;236
Mengeš;;;;
Metlika;31;29;31;61
Mežica;;;;
Miklavž na Dravskem polju;;;;
Miren - Kostanjevica;;;;
Mirna;;;;
Mirna Peè;;;;
Mislinja;1881;277;5216;1424
Mokronog - Trebelno;;;;
Moravèe;;;;
Moravske Toplice;6252;3815;20382;13423
Mozirje;471;384;1375;1260
Murska Sobota;383;120;788;236
Muta;;;;
Naklo;74;363;122;1039
Nazarje;;;;
Nova Gorica;284;6617;473;12242
Novo mesto;668;974;1222;2294
Odranci;;;;
Oplotnica;;;;
Ormož;32;61;133;255
Osilnica;;;;
Pesnica;;;;
Piran/Pirano;4206;8548;14290;27395
Pivka;;;;
Podèetrtek;3489;3671;11851;11464
Podlehnik;;;;
Podvelka;;;;
Poljèane;;;;
Polzela;;;;
Postojna;96;1103;163;1587
Prebold;3;23;5;84
Preddvor;19;653;35;1557
Prevalje;19;18;25;20
Ptuj;1556;1075;4104;2514
Puconci;;;;
Raèe - Fram;;;;
Radeèe;;;;
Radenci;1787;1453;5503;5097
Radlje ob Dravi;;;;
Radovljica;142;737;317;1320
Ravne na Koroškem;48;56;56;355
Razkrižje;;;;
Reèica ob Savinji;;;;
Renèe - Vogrsko;124;418;199;514
Ribnica;;;;
Ribnica na  Pohorju;778;249;2440;1125
Rogaška Slatina;649;1741;2570;14824
Rogašovci;0;0;0;0
Rogatec;;;;
Ruše;377;199;1144;443
Selnica ob Dravi;;;;
Semiè;245;27;704;66
Sevnica;13;19;41;50
Sežana;183;2180;239;2654
Slovenj Gradec;370;423;1335;2061
Slovenska Bistrica;1702;354;6033;1092
Slovenske Konjice;35;57;44;91
Sodražica;;;;
Solèava;113;39;159;76
Središèe ob Dravi;;;;
Starše;;;;
Straža;;;;
Sveta Ana;;;;
Sveta Trojica v Slov. goricah;;;;
Sveti Andraž v Slov. goricah;;;;
Sveti Jurij ob Šèavnici;;;;
Sveti Jurij v Slov. goricah;;;;
Sveti Tomaž;;;;
Šalovci;;;;
Šempeter - Vrtojba;;;;
Šenèur;;;;
Šentilj;;;;
Šentjernej;;;;
Šentjur;;;;
Šentrupert;;;;
Škocjan;10;24;18;123
Škofja Loka;32;191;69;589
Škofljica;;;;
Šmarje pri Jelšah;;;;
Šmarješke Toplice;;;;
Šmartno ob Paki;;;;
Šmartno pri Litiji;;;;
Šoštanj;1443;782;5326;2792
Štore;;;;
Tabor;;;;
Tišina;;;;
Tolmin;120;257;442;1172
Trbovlje;3;12;3;81
Trebnje;258;131;610;279
Trnovska vas;;;;
Trzin;;;;
Tržiè;22;17;23;42
Turnišèe;;;;
Velenje;86;297;94;668
Velika Polana;;;;
Velike Lašèe;;;;
Veržej;1597;176;4800;613
Videm;;;;
Vipava;22;9;56;10
Vitanje;;;;
Vodice;;;;
Vojnik;;;;
Vransko;24;25;78;83
Vrhnika;21;178;23;193
Vuzenica;;;;
Zagorje ob Savi;91;18;233;116
Zavrè;;;;
Zreèe;4291;3616;15478;14408
Žalec;63;133;72;200
Železniki;41;40;81;112
Žetale;;;;
Žiri;;;;
Žirovnica;193;33;193;33
Žužemberk;0;2;0;28
