"Prenoèitvene zmogljivosti po: VRSTE NASTANITVENIH OBJEKTOV, MESEC ,"
"MERITVE"

" ";"2014M12";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Število sob";"Zmogljivosti - ležišèa - SKUPAJ";"Zmogljivosti - ležišèa - stalna";"Prihodi turistov - SKUPAJ";"Prihodi turistov - domaèi";"Prihodi turistov - tuji";"Prenoèitve turistov - SKUPAJ";"Prenoèitve turistov - domaèi";"Prenoèitve turistov - tuji"
"Vrste nastanitvenih objektov - SKUPAJ";30768;81835;74582;208516;79534;128982;512060;221535;290525
"Hoteli";17833;38942;34962;156659;49526;107133;380735;140354;240381
"Moteli";77;172;170;452;68;384;534;78;456
"Penzioni";697;1721;1576;3453;1186;2267;6598;2261;4337
"Gostišèa";1090;2587;2384;3038;933;2105;5601;1701;3900
"Prenoèišèa";729;1687;1573;2479;700;1779;6570;2009;4561
"Apartmajska in poèitniška naselja";1347;4945;4258;11099;7836;3263;30555;21969;8586
"Kampi";2537;8212;7952;7865;6256;1609;24342;19892;4450
"Turistiène kmetije z nastanitvijo";963;2842;2526;2072;1131;941;4376;2381;1995
"Mladinski hoteli";610;2214;2078;6112;1813;4299;11550;3573;7977
"Zasebne sobe, apartmaji, hiše";1909;6521;5663;7296;2840;4456;18696;7073;11623
"Planinski domovi in koèe";619;3300;3138;1545;1438;107;2435;2275;160
"Delavski poèit. domovi in apartmaji, otroški in mladinski poèitniški domovi";1233;5382;5113;5957;5606;351;18960;17563;1397
"Drugi nastanitveni objekti";97;287;276;75;31;44;232;87;145
"Zaèasne nastanitvene zmogljivosti in marine";1027;3023;2913;414;170;244;876;319;557